TransectID,Longitude,Latitude,LRR_m_yr,EPR_m_yr,NSM_m,NDVI_2019,NDVI_2024,BSI_2024,NDVI_decline,score_lrr,score_ndvi,score_bsi,Risk_Score,Risk_Level
42.0,84.870785,19.223072,1.545,0.303,3.333,0.30217893307594623,0.22548643629395715,-0.14574187469967512,0.07669249678198908,0.40047136760303204,0.24775799246421049,0.4394826384438431,0.3624596092295478,Moderate
44.0,84.873036,19.225447,-5.524,0.606,6.667,0.4866443092484844,0.1837602194898671,-0.05893033687563947,0.3028840897586173,0.8507548251480986,0.7873769452154205,0.6352880411253765,0.7886481043637507,Critical
45.0,84.874258,19.226545,0.333,,,0.5032102927506559,0.46974433531830156,-0.29284282009246576,0.03346595743235431,0.47767373718071215,0.1446336473550663,0.10769310252002645,0.30376558330088127,Low
46.0,84.87548,19.227643,-0.076,0.0,0.0,0.31892936154306667,0.2868513316395481,-0.14708896337851216,0.032078029903518546,0.5037263519969425,0.1413225074946104,0.4364442492179539,0.3815487780904452,Moderate
47.0,84.876702,19.228741,0.215,0.005,0.05,0.46411383364923947,0.43217975366935074,-0.218315787821854,0.03193407997988873,0.48519013949933115,0.14097909019065355,0.2757905228650724,0.34004690137987614,Low
48.0,84.877828,19.229928,-0.35,-0.909,-10.0,0.42731555002087956,0.41006958439583974,-0.28075708152407575,0.017245965625039827,0.5211796929740748,0.10593806686282126,0.1349527613903033,0.31936181882394443,Low
52.0,84.88262,19.23441,-1.888,-2.121,-23.333,0.4199708478740958,0.30263990696056314,-0.20182116003973932,0.11733094091353263,0.6191477164150582,0.34470799124673807,0.3129945318702527,0.4755851619556011,Moderate
55.0,84.886287,19.237704,7.343,12.121,133.333,0.5388935362327666,0.16426257963655394,-0.04913553603587057,0.37463095659621265,0.031148480794955084,0.9585414373903534,0.6573804377202146,0.4346127591586265,Moderate
57.0,84.888828,19.239811,6.119,10.606,116.667,0.30000300839237126,0.004744891325725493,-0.00926293563884966,0.2952581170666458,0.10911523026944392,0.7691838755986544,0.7473139969266377,0.4347755771996459,Moderate
59.0,84.89108,19.242185,-2.657,-2.727,-30.0,0.3617446752479791,0.24535713055138222,-0.21148159609057227,0.11638754469659687,0.6681317281355501,0.3424573572956127,0.29120519812009277,0.49504411088047745,Moderate
60.0,84.892494,19.243105,3.531,-0.303,-3.333,0.4780581694778959,0.31923395155856327,-0.20741513988579396,0.15882421791933266,0.2739664946811899,0.4436973408924573,0.30037718279656955,0.33016788616764603,Low
63.0,84.896258,19.246309,4.126,6.667,73.333,0.38114551244667827,0.17829874669045265,-0.11377480430572472,0.20284676575622562,0.23606599146442445,0.5487207011710987,0.5115850944989799,0.3849662249833378,Moderate
64.0,84.89748,19.247407,-1.224,-1.212,-13.333,0.3692490890959524,0.30378651124215317,-0.18396506194181933,0.06546257785379922,0.5768520287916428,0.22096708917835337,0.3532693682113751,0.4253700147916024,Moderate
65.0,84.898702,19.248505,-2.832,-3.03,-33.333,0.4738613631383687,0.33281419448857247,-0.21634076179239536,0.14104716864979622,0.6792789349640105,0.40128713199125776,0.28024523910093185,0.5160746548995689,Moderate
66.0,84.900117,19.249425,2.273,0.606,6.667,0.5296379370364872,0.3945268816102277,-0.22843898413568312,0.1351110554262595,0.3540989871966367,0.3871255128128276,0.2529574227917695,0.3437786320005205,Low
67.0,84.901243,19.250612,-5.21,-3.636,-40.0,0.3611189255494976,0.12556692992387303,-0.08927753840281887,0.23555199562562457,0.8307535511816039,0.6267446527219249,0.5668392362288251,0.7167680186531444,High
68.0,84.902658,19.251531,2.098,1.818,20.0,0.4145214543191909,0.30375262502617806,-0.1430628869147661,0.11076882929301285,0.3652461940250971,0.32905294521296563,0.44552515646795976,0.3704440118700302,Moderate
69.0,84.903881,19.252629,0.455,0.303,3.333,0.3632481707053766,0.3352760856679068,-0.1876868005691291,0.02797208503746984,0.46990254156315686,0.13152706974418815,0.3448749018897102,0.3433843720827769,Low
70.0,84.904165,19.252723,-0.774,0.0,0.0,0.39483332287076656,0.33157664560581623,-0.1779808039530698,0.06325667726495032,0.548187782661316,0.21570453388191974,0.36676699853342265,0.4121586512019184,Moderate
75.0,84.907532,19.272182,-0.154,10.909,120.0,0.4511347071579278,0.46462382048192735,-0.2733619685816258,-0.013489113323999546,0.5086948213261991,0.032614249222436664,0.15163260722493058,0.29445820687481666,Low
76.0,84.907547,19.271008,-0.734,-5.455,-60.0,0.49309468992013955,0.4689336334989333,-0.30056475070495486,0.02416105642120625,0.5456398496719536,0.12243520543681072,0.09027611197987431,0.32760570886299484,Low
79.0,84.907908,19.26505,-0.06,2.424,26.667,0.3169793741986036,0.317250976124996,-0.1613592574448842,-0.0002716019263923619,0.5027071788011975,0.06414689623417129,0.4042572756187345,0.35144911339459706,Moderate
81.0,84.909656,19.26218,2.493,1.212,13.333,0.4715212697968284,0.34094897354115733,-0.20958437284284526,0.13057229625567107,0.34008535575514365,0.3762975220896005,0.2954844284080177,0.3420288201860555,Low
83.0,84.91307,19.262941,3.923,-0.303,-3.333,0.43706502434895633,0.236289545455015,-0.09540247052868864,0.20077547889394134,0.24899675138543856,0.5437792900745834,0.5530243121834301,0.3982370251517803,Moderate
84.0,84.914197,19.264129,-6.742,-3.939,-43.333,0.3344965131895643,0.028885813522937315,0.0166978107918581,0.305610699666627,0.9283393846741831,0.7938817421610491,0.8058690523512003,0.8635080254556463,Critical
88.0,84.912329,19.261397,4.021,3.636,40.0,0.3246883048012296,0.10618763095580458,-0.06938604479697258,0.21850067384542504,0.24275431556150073,0.5860657915804947,0.6117049535407871,0.4195378859630562,Moderate
89.0,84.910529,19.260835,1.503,0.606,6.667,0.3613897763311639,0.25109907198987697,-0.15095235780093771,0.11029070434128696,0.40314669724186253,0.3279122958973158,0.42773027502095284,0.3854930923943166,Moderate
90.0,84.908434,19.261082,1.469,0.303,3.333,0.33794666564611814,0.2579358136233745,-0.2001970769507399,0.08001085202274366,0.40531244028282054,0.25567449968849754,0.3166576883031498,0.34269010770858943,Low
93.0,84.904965,19.264565,-0.421,-7.727,-85.0,0.5314986198725545,0.4975570632103748,-0.3243385274591946,0.03394155666217974,0.525702274030193,0.14576827112666774,0.03665381651886765,0.31391238165687035,Low
96.0,84.905881,19.267376,1.224,2.424,26.667,0.47002625390116054,0.38895728800163504,-0.2662982708656486,0.0810689658995255,0.42091852984266515,0.2581988123500187,0.16756493846068252,0.3214318963184747,Low
97.0,84.905288,19.269085,-7.867,-3.636,-40.0,0.35941473046992084,-0.03204914903614687,0.10276696860789553,0.3914638795060677,1.0,0.9986992704593145,1.0,0.9996097811377944,Critical
98.0,84.904421,19.269978,0.175,3.333,36.667,0.44222131313914015,0.4355569665851435,-0.2624579889140738,0.0066643465539966695,0.48773807248869355,0.08069379440164919,0.17622678195276428,0.3033225309553944,Low
100.0,84.903855,19.26961,3.287,2.424,26.667,0.4391580128586007,0.2515954101403146,-0.17414461543702328,0.18756260271828606,0.2895088859163004,0.5122577011821295,0.3754196091883487,0.3735156751504588,Moderate
101.0,84.903833,19.271326,3.986,3.03,33.333,0.31818430272108694,0.13955127719045934,-0.07241341081980454,0.1786330255306276,0.2449837569271928,0.4909546588050716,0.6048766604587485,0.3907536081968676,Moderate
