system:index,MNDWI,True_Class,.geo
00000000000000000047_0,0.034358058,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.77154299532792,19.33610174338008]}"
00000000000000000049_0,-0.02393934,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78735334432842,19.172967687783977]}"
00000000000000000052_0,-0.03211679,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.7542055103444,19.237287062126935]}"
00000000000000000053_0,0.03518729,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.78456856694764,19.12284169493011]}"
00000000000000000062_0,0.094736814,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75178005907729,19.15383357223223]}"
00000000000000000065_0,0.00664083,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75681062466835,19.383712453438417]}"
00000000000000000076_0,-0.066447906,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.90727843475837,19.35487653281818]}"
00000000000000000078_0,0.72025055,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75995472816277,19.111253427764964]}"
0000000000000000007a_0,0.16858497,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.73938330815643,19.130118048731475]}"
0000000000000000007b_0,0.7926102,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.75321736353187,19.090232850116568]}"
0000000000000000007c_0,0.7969452,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72761537793447,19.113948373617323]}"
0000000000000000007e_0,0.6502193,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.88652735169521,19.36592581081285]}"
00000000000000000081_0,0.3964687,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.86110502915463,19.290826653060456]}"
00000000000000000082_0,0.6219931,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74180875942356,19.130477374845125]}"
00000000000000000083_0,0.78958017,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74198842248038,19.095083752650815]}"
00000000000000000084_0,0.21693812,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.72141700247404,19.109007639554665]}"
00000000000000000086_0,0.20473161,Water,"{""geodesic"":false,""type"":""Point"",""coordinates"":[84.74674949348622,19.26459584676417]}"
