TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value
340,37.3042,652.6248,37.3042,0.2845,652.6248,0.0741
341,44.1478,815.6347,44.1478,0.2265,815.6347,0.1644
342,33.7608,656.7474,33.7608,0.2961,656.7474,0.1039
343,22.7354,268.5624,22.7354,0.191,527.1782,0.4618
344,39.787,457.5506,39.787,0.5795,497.3376,0.1349
345,10.8297,248.6688,10.8297,0.0293,656.4855,0.6361
346,8.3243,160.7318,8.3243,0.2707,189.0962,0.1231
347,12.1783,9.4549,12.1783,0.0683,349.8315,0.4656
348,4.7211,159.1483,4.7211,0.024,328.2433,0.6692
349,-10.8449,217.4934,-10.8449,0.0182,709.2166,0.6757
350,10.1573,0.0,10.1573,0.1408,293.1046,0.2853
351,-1.0782,29.8399,-1.0782,0.0011,268.5625,0.9201
352,12.6497,298.4027,12.6497,0.1322,417.763,0.3017
353,8.1989,387.9239,8.1989,0.0367,387.9239,0.596
354,13.2507,328.2411,13.2507,0.1091,328.2411,0.2945
355,15.4154,321.462,15.4154,0.2565,340.3716,0.1352
356,7.4165,141.8218,7.4165,0.2968,160.7314,0.1035
357,26.7213,387.7893,26.7213,0.3076,425.6214,0.0613
358,2.3997,179.0405,2.3997,0.0041,477.4414,0.8435
359,40.2362,497.3377,40.2362,0.5145,517.2312,0.1086
360,4.1274,59.6801,4.1274,0.0867,179.0404,0.4417
361,6.2602,59.6803,6.2602,0.5245,59.6803,0.0077
362,0.7999,9.9471,0.7999,0.0649,29.8406,0.4242
363,3.7214,9.9474,3.7214,0.2904,59.6807,0.0706
364,3.3388,29.8409,3.3388,0.6713,29.8409,0.0011
365,1.0782,49.7342,1.0782,0.0254,59.6802,0.621
366,0.0,0.0004,0.0,0.6169,0.0007,0.0025
367,2.991,59.681,2.991,0.2409,59.681,0.1051
368,0.0,79.5747,0.0,0.0,89.5202,1.0
369,0.661,9.9497,0.661,0.2806,9.9498,0.0765
370,4.7992,59.6768,4.7992,0.411,59.6801,0.0247
371,0.9738,9.9461,0.9738,0.0158,59.681,0.697
372,-1.1904,0.0,-1.1904,0.151,28.3718,0.2118
373,-0.8347,0.0002,-0.8347,0.0671,29.8407,0.4161
374,2.2259,19.8937,2.2259,0.6713,19.8938,0.0011
375,44.2441,406.6621,44.2441,0.4921,472.8628,0.011
376,1.1129,9.9468,1.1129,0.6713,9.9469,0.0011
377,3.0258,19.8937,3.0258,0.428,59.6812,0.021
378,2.2259,19.8937,2.2259,0.3641,29.8406,0.0378
379,-1.4607,0.0,-1.4607,0.0935,59.6811,0.3339
380,1.1476,59.6796,1.1476,0.0323,59.6808,0.5761
381,0.2439,9.9505,0.2439,0.0009,59.6846,0.9252
382,0.0004,0.0041,0.0004,0.7838,0.0041,0.0001
383,3.6865,89.5199,3.6865,0.2728,89.5199,0.0815
384,-10.3169,9.4572,-10.3169,0.0617,331.0018,0.4364
385,-3.9647,0.0008,-3.9647,0.2479,59.6806,0.0995
386,1.5997,49.7327,1.5997,0.0902,59.6795,0.3428
387,3.3735,59.6802,3.3735,0.3273,59.6802,0.0519
388,-0.1391,59.6807,-0.1391,0.0004,59.6808,0.9539
389,0.0,0.0001,0.0,0.2308,0.0001,0.1139
390,0.0,0.0,0.0,,0.0,
391,5.7732,59.6801,5.7732,0.5373,59.6801,0.0067
392,0.7651,0.0,0.7651,0.0042,109.4135,0.8415
393,1.1477,0.0002,1.1477,0.0241,59.6802,0.6298
394,0.9043,9.9468,0.9043,0.3939,9.9468,0.0289
395,-0.0837,39.7868,-0.0837,0.0,179.0408,0.9863
396,16.1739,434.996,16.1739,0.0921,434.996,0.5587
397,9.2511,69.6269,9.2511,0.1013,338.1879,0.3135
398,7.8948,278.5078,7.8948,0.032,537.1222,0.578
399,29.0765,427.7087,29.0765,0.7184,427.7087,0.0331
