TransectID,EPR_m_yr,NSM_m,LRR_m_yr,R2,SCE_m,p_value,Longitude,Latitude
624,-18.6408,0.0,-18.6408,0.0648,716.1422,0.4244,84.792974,19.124414
625,12.52,0.0,12.52,0.0839,457.535,0.361,84.793932,19.125761
626,-1.9172,0.0,-1.9172,0.0011,661.7694,0.9184,84.794854,19.127142
627,9.8835,397.058,9.8835,0.038,425.4193,0.5438,84.795663,19.128632
628,32.0631,595.5813,32.0631,0.4324,595.5813,0.0201,84.796471,19.130121
629,20.4145,387.9096,20.4145,0.2454,387.9096,0.1015,84.797196,19.13169
630,-5.0297,0.0,-5.0297,0.0358,264.6972,0.5775,84.797819,19.133356
631,4.5297,0.0,4.5297,0.0502,189.0674,0.5338,84.798358,19.135102
632,20.1195,198.9279,20.1195,0.3503,397.8559,0.0715,84.798936,19.13681
633,8.2717,85.0804,8.2717,0.2966,189.0675,0.1036,84.798897,19.135028
634,0.3029,18.907,0.3029,0.0003,217.4301,0.9628,84.798358,19.133282
635,3.9004,0.0,3.9004,0.0311,226.8862,0.5833,84.798088,19.131281
636,4.3963,9.4537,4.3963,0.1204,113.4444,0.2692,84.797549,19.129535
637,-2.2478,0.0,-2.2478,0.0195,198.5297,0.6653,84.79701,19.127789
638,-3.9667,0.0,-3.9667,0.011,321.4323,0.7461,84.796202,19.1263
639,5.7848,255.2578,5.7848,0.0511,255.2578,0.48,84.795663,19.124554
640,10.4788,207.99,10.4788,0.1836,264.7146,0.1646,84.794854,19.123065
641,8.9583,0.0,8.9583,0.091,274.1709,0.3406,84.794046,19.121575
642,10.0855,129.3034,10.0855,0.0589,477.428,0.4471,84.793221,19.120102
643,-6.8431,0.0,-6.8431,0.0355,311.9924,0.5788,84.792159,19.119195
644,16.1021,119.3571,16.1021,0.3168,258.6072,0.0567,84.791277,19.120102
645,7.8598,258.6073,7.8598,0.0784,258.6073,0.378,84.790319,19.118754
646,0.2975,472.7216,0.2975,0.0,472.7216,0.985,84.789195,19.117565
647,1.3884,198.5419,1.3884,0.0008,453.8108,0.9303,84.788925,19.118199
648,9.7184,397.0662,9.7184,0.0465,425.4281,0.5011,84.790003,19.125348
649,4.9788,85.0846,4.9788,0.0095,491.5991,0.775,84.790003,19.127606
650,-3.6361,9.4539,-3.6361,0.0033,491.6009,0.8585,84.790542,19.126995
651,17.817,387.6113,17.817,0.0995,425.4271,0.3178,84.790542,19.125762
652,-0.4173,358.0715,-0.4173,0.0001,477.4285,0.9765,84.791458,19.124683
653,21.8404,208.8752,21.8404,0.3062,348.1253,0.062,84.789933,19.123875
654,9.0422,606.7329,9.0422,0.0196,616.6793,0.6643,84.788975,19.122527
655,30.9735,406.523,30.9735,0.5024,406.523,0.0099,84.789464,19.124225
656,-18.163,0.0,-18.163,0.1975,338.1786,0.1708,84.79133,19.128187
657,10.8423,217.4416,10.8423,0.2684,293.073,0.0844,84.79189,19.125087
658,13.9369,170.1781,13.9369,0.6629,170.1781,0.0023,84.79189,19.118763
659,13.6763,79.5715,13.6763,0.3384,268.5537,0.1707,84.792001,19.128995
660,-8.2736,0.0,-8.2736,0.025,425.4127,0.6424,84.79189,19.131147
661,31.5672,510.4956,31.5672,0.2424,510.4956,0.1039,84.792429,19.131027
662,9.9496,18.9075,9.9496,0.0438,444.3258,0.5139,84.792159,19.129025
663,-12.3904,85.0821,-12.3904,0.0447,491.5844,0.5324,84.792429,19.132341
664,16.0325,149.1963,16.0325,0.647,149.1963,0.0016,84.79704,19.146782
665,2.1911,19.8935,2.1911,0.2244,59.6792,0.1197,84.794948,19.147051
666,1.1129,9.9465,1.1129,0.6713,9.9465,0.0011,84.793139,19.14759
667,2.9689,28.9465,2.9689,0.7253,28.9465,0.0004,84.79189,19.148661
668,1.1129,9.9465,1.1129,0.6713,9.9465,0.0011,84.793407,19.14786
669,0.2087,0.0,0.2087,0.0014,59.6789,0.9068,84.795499,19.14759
670,13.0416,208.8748,13.0416,0.2408,208.8748,0.1053,84.797308,19.148129
671,5.4949,119.3569,5.4949,0.0954,179.0355,0.3288,84.798138,19.148668
672,17.8144,387.5551,17.8144,0.1459,387.5551,0.2205,84.798627,19.149072
673,2.2258,19.8928,2.2258,0.0032,298.392,0.8618,84.800295,19.148399
674,0.0992,0.0,0.0992,0.0002,85.0727,0.9634,84.800783,19.14968
675,6.3457,56.7145,6.3457,0.6713,56.7145,0.0011,84.800244,19.151426
676,0.8924,9.4523,0.8924,0.437,9.4523,0.0193,84.800514,19.153428
677,0.0,0.0,0.0,0.0194,0.0,0.6657,84.800783,19.153199
678,38.3945,477.427,38.3945,0.3107,805.6582,0.0597,84.800944,19.151094
679,6.4119,387.5542,6.4119,0.0155,415.9109,0.6998,84.801592,19.149452
680,-3.1946,9.9464,-3.1946,0.0056,447.5873,0.8275,84.802292,19.14786
681,15.2036,387.56,15.2036,0.3,387.56,0.0652,84.802939,19.146835
682,15.8646,340.2957,15.8646,0.1466,340.2957,0.2192,84.801322,19.147086
683,37.4139,397.0113,37.4139,0.1909,879.0951,0.1556,84.800783,19.147685
684,8.3119,29.8392,8.3119,0.0309,447.5884,0.5848,84.798592,19.14786
685,27.37,417.7491,27.37,0.3247,477.4276,0.0531,84.798826,19.146782
686,39.0008,387.5618,39.0008,0.5688,406.4672,0.0046,84.798627,19.146075
687,29.3165,378.1073,29.3165,0.3473,434.8233,0.0438,84.79728,19.14705
688,7.5467,49.732,7.5467,0.0928,268.5529,0.3356,84.799303,19.148129
689,8.3466,19.8928,8.3466,0.0547,467.4809,0.4644,84.799688,19.144626
690,3.6026,18.9056,3.6026,0.0078,425.3746,0.7851,84.798627,19.145336
691,1.5864,9.4523,1.5864,0.4167,18.9045,0.0234,84.801053,19.154129
692,0.0,0.0,0.0,,0.0,,84.80324,19.155136
693,10.1061,85.07,10.1061,0.6704,85.07,0.0021,84.801592,19.15475
694,-0.2692,0.0,-0.2692,0.0108,29.8392,0.7608,84.803277,19.155406
695,14.1808,122.7004,14.1808,0.1476,264.2777,0.273,84.805634,19.393943
696,6.9005,56.6314,6.9005,0.8051,56.6314,0.0025,84.804556,19.392708
697,45.4634,497.3316,45.4634,0.387,497.3316,0.0548,84.803184,19.393369
698,28.5916,254.8378,28.5916,0.6144,254.8378,0.0073,84.8024,19.394884
699,46.6852,368.0952,46.6852,0.687,368.0952,0.003,84.801861,19.39663
700,25.2762,368.0933,25.2762,0.3283,368.0933,0.0834,84.800514,19.397609
701,30.1796,49.7332,30.1796,0.3325,358.0791,0.081,84.802533,19.397951
702,2.3775,348.1319,2.3775,0.0021,477.4379,0.9009,84.804345,19.397412
703,26.9338,0.0,26.9338,0.2195,368.0952,0.172,84.805365,19.396633
